Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.150000,5,596,1,0.693416,0,83,79,112,322
1.150000,5,69,1,0.892857,5,18,31,0,15
1.150000,5,97,1,0.914688,42,1,54,0,0
1.150000,5,30,1,0.760000,2,1,10,1,16
1.150000,5,197,1,0.867340,23,77,0,0,97
1.150000,5,107,1,0.747045,33,0,12,39,23
1.150000,5,144,1,0.786033,0,80,33,10,21
1.150000,5,156,1,0.850144,9,0,0,115,32
1.150000,5,37,1,0.831050,4,11,5,5,12
1.150000,5,175,1,0.842200,6,71,0,47,51
1.150000,5,18,1,0.872340,2,1,1,8,6
1.150000,5,69,1,0.887070,40,8,1,5,15
1.150000,5,11,1,0.849315,0,5,3,2,1
1.150000,5,89,1,0.873759,19,0,17,5,48
1.150000,5,159,1,0.813817,0,49,11,0,99
1.150000,5,91,1,0.863158,11,1,21,49,9
1.150000,5,135,1,0.824903,0,20,35,80,0
