Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.100000,5,63,10,0,0.957972,0.993329,0.006671,27,2,22,6,6
1.100000,5,57,0,0,0.933644,1.000000,0.000000,33,0,22,0,2
1.100000,5,22,11,0,0.958801,0.979401,0.020599,0,0,22,0,0
1.100000,5,55,1,0,0.947469,0.999045,0.000955,4,27,7,6,11
1.100000,5,41,0,0,0.732026,1.000000,0.000000,6,14,0,7,14
1.100000,5,19,0,1,0.929889,1.000000,0.000000,0,0,2,4,13
1.100000,5,47,17,0,0.920204,0.971138,0.028862,25,0,3,1,18
1.100000,5,52,12,0,0.917329,0.980922,0.019078,2,1,22,20,7
1.100000,5,3,0,1,0.933333,1.000000,0.000000,1,0,1,1,0
1.100000,5,3,0,1,0.933333,1.000000,0.000000,1,0,1,1,0
1.100000,5,95,47,0,0.883721,0.942472,0.057528,0,33,7,2,53
1.100000,5,25,5,0,0.897541,0.979508,0.020492,3,10,11,1,0
1.100000,5,10,9,0,0.957082,0.961373,0.038627,0,0,10,0,0
1.100000,5,59,1,0,0.943970,0.999050,0.000950,39,3,1,12,4
1.100000,5,67,5,0,0.928342,0.994652,0.005348,15,8,20,10,14
1.100000,5,9,0,0,0.958525,1.000000,0.000000,0,0,9,0,0
1.100000,5,91,0,0,0.875853,1.000000,0.000000,0,13,0,78,0
1.100000,5,3,0,0,0.958333,1.000000,0.000000,0,1,2,0,0
1.100000,5,3,0,0,0.958333,1.000000,0.000000,0,1,2,0,0
1.100000,5,32,0,1,0.943363,1.000000,0.000000,0,0,32,0,0
1.100000,5,30,7,0,0.941634,0.986381,0.013619,4,26,0,0,0
