Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
0.950000,5,412,1,0.403763,0,216,28,144,24
0.950000,5,328,1,0.604343,26,18,143,46,95
0.950000,5,832,1,0.351520,78,270,60,378,46
0.950000,5,37,1,0.327273,18,3,1,15,0
0.950000,5,37,1,0.327273,18,3,1,15,0
0.950000,5,37,1,0.327273,18,3,1,15,0
0.950000,5,592,1,0.430221,330,99,45,91,27
0.950000,5,158,1,0.791281,0,60,0,35,63
0.950000,5,81,1,0.381679,3,48,5,9,16
0.950000,5,423,1,0.226691,132,63,132,66,30
0.950000,5,309,1,0.413662,26,15,46,180,42
0.950000,5,461,1,0.542205,56,84,150,87,84
0.950000,5,44,1,0.799087,4,0,8,10,22
0.950000,5,192,1,0.605749,0,16,68,108,0
0.950000,5,259,1,0.539964,70,28,42,34,85
0.950000,5,224,1,0.682270,55,35,51,57,26
0.950000,5,271,1,0.737657,0,49,198,0,24
0.950000,5,42,1,0.800948,14,10,14,4,0
0.950000,5,204,1,0.772067,84,63,0,30,27
0.950000,5,288,1,0.707019,80,49,90,36,33
0.950000,5,248,1,0.774750,107,80,0,61,0
