Utilization,Number_of_tasks,Total missed,Total killed,Task_1 missed,Task_2 missed,Task_1 killed,Task_2 killed
0.500000,2,0,0,0,0,0,0
0.510000,2,0,0,0,0,0,0
0.520000,2,0,0,0,0,0,0
0.530000,2,0,0,0,0,0,0
0.540000,2,0,0,0,0,0,0
0.550000,2,0,0,0,0,0,0
0.560000,2,0,0,0,0,0,0
0.570000,2,0,0,0,0,0,0
0.580000,2,0,0,0,0,0,0
0.590000,2,0,0,0,0,0,0
0.600000,2,0,0,0,0,0,0
0.610000,2,0,0,0,0,0,0
0.620000,2,0,0,0,0,0,0
0.630000,2,0,0,0,0,0,0
0.640000,2,0,0,0,0,0,0
0.650000,2,0,0,0,0,0,0
0.660000,2,0,0,0,0,0,0
0.670000,2,0,0,0,0,0,0
0.680000,2,0,0,0,0,0,0
0.690000,2,0,0,0,0,0,0
0.700000,2,0,0,0,0,0,0
0.710000,2,0,0,0,0,0,0
0.720000,2,0,0,0,0,0,0
0.730000,2,0,0,0,0,0,0
0.740000,2,0,0,0,0,0,0
0.750000,2,0,0,0,0,0,0
0.760000,2,0,0,0,0,0,0
0.770000,2,0,0,0,0,0,0
0.780000,2,0,0,0,0,0,0
0.790000,2,0,0,0,0,0,0
0.800000,2,0,0,0,0,0,0
0.810000,2,0,0,0,0,0,0
0.820000,2,0,0,0,0,0,0
0.830000,2,0,0,0,0,0,0
0.840000,2,0,0,0,0,0,0
0.850000,2,0,0,0,0,0,0
0.860000,2,0,0,0,0,0,0
0.870000,2,0,0,0,0,0,0
0.880000,2,0,0,0,0,0,0
0.890000,2,0,0,0,0,0,0
0.900000,2,0,0,0,0,0,0
0.910000,2,0,0,0,0,0,0
0.920000,2,0,0,0,0,0,0
0.930000,2,0,0,0,0,0,0
0.940000,2,0,0,0,0,0,0
0.950000,2,0,0,0,0,0,0
0.960000,2,2,0,0,2,0,0
0.970000,2,2,0,0,2,0,0
0.980000,2,2,0,0,2,0,0
0.990000,2,2,1,0,2,0,1
1.000000,2,2,1,0,2,0,1
1.010000,2,2,1,0,2,0,1
1.020000,2,2,1,0,2,0,1
1.030000,2,2,1,0,2,0,1
1.040000,2,2,1,0,2,0,1
1.050000,2,6,3,0,6,0,3
1.060000,2,6,4,0,6,0,4
1.070000,2,6,4,0,6,0,4
1.080000,2,6,4,0,6,0,4
1.090000,2,6,6,0,6,0,6
1.100000,2,6,6,0,6,0,6
1.110000,2,6,6,0,6,0,6
1.120000,2,6,6,0,6,0,6
1.130000,2,6,6,0,6,0,6
1.140000,2,6,6,0,6,0,6
1.150000,2,6,6,0,6,0,6
1.160000,2,6,6,0,6,0,6
1.170000,2,6,6,0,6,0,6
1.180000,2,6,6,0,6,0,6
1.190000,2,6,6,0,6,0,6
1.200000,2,6,6,0,6,0,6
1.210000,2,6,6,0,6,0,6
1.220000,2,6,6,0,6,0,6
1.230000,2,6,6,0,6,0,6
1.240000,2,6,6,0,6,0,6
1.250000,2,6,6,0,6,0,6
1.260000,2,6,6,0,6,0,6
1.270000,2,6,6,0,6,0,6
1.280000,2,6,6,0,6,0,6
1.290000,2,6,6,0,6,0,6
1.300000,2,6,6,0,6,0,6
1.310000,2,6,6,0,6,0,6
1.320000,2,6,6,0,6,0,6
1.330000,2,6,6,0,6,0,6
1.340000,2,6,6,0,6,0,6
1.350000,2,6,6,0,6,0,6
1.360000,2,6,6,0,6,0,6
1.370000,2,6,6,0,6,0,6
1.380000,2,6,6,0,6,0,6
1.390000,2,6,6,0,6,0,6
1.400000,2,6,6,0,6,0,6
1.410000,2,6,6,0,6,0,6
1.420000,2,6,6,0,6,0,6
1.430000,2,6,6,0,6,0,6
1.440000,2,6,6,0,6,0,6
1.450000,2,6,6,0,6,0,6
1.460000,2,6,6,0,6,0,6
1.470000,2,6,6,0,6,0,6
1.480000,2,6,6,0,6,0,6
1.490000,2,6,6,0,6,0,6
1.500000,2,6,6,0,6,0,6
