Utilization,Number_of_tasks,Total missed,Total killed,Weakly hard,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.900000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.910000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.920000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.930000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.940000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.950000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.960000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.970000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.980000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
0.990000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
1.000000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
1.010000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
1.020000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
1.030000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
1.040000,5,367,0,1,105,90,78,63,31,0,0,0,0,0
1.050000,5,369,9,1,105,91,79,63,31,0,6,3,0,0
1.060000,5,369,9,1,105,91,79,63,31,0,6,3,0,0
1.070000,5,373,29,1,107,92,79,63,32,7,11,6,0,5
1.080000,5,373,29,1,107,92,79,63,32,7,11,6,0,5
1.090000,5,375,37,1,107,94,79,63,32,10,15,6,0,6
1.100000,5,375,37,1,107,94,79,63,32,10,15,6,0,6
1.110000,5,376,39,1,107,94,79,63,33,11,16,6,0,6
1.120000,5,380,52,1,106,98,80,63,33,9,30,7,0,6
1.130000,5,383,62,1,108,97,81,63,34,13,26,12,0,11
1.140000,5,383,62,1,108,97,81,63,34,13,26,12,0,11
1.150000,5,384,62,1,109,97,81,63,34,15,26,11,0,10
1.160000,5,384,62,1,109,97,81,63,34,15,26,11,0,10
1.170000,5,388,80,1,111,97,82,63,35,22,26,16,0,16
1.180000,5,388,80,1,111,97,82,63,35,22,26,16,0,16
1.190000,5,386,79,1,109,96,82,63,36,18,25,18,0,18
1.200000,5,386,79,1,109,96,82,63,36,18,25,18,0,18
1.210000,5,388,84,1,110,95,83,63,37,22,24,19,0,19
1.220000,5,388,84,1,110,95,83,63,37,22,24,19,0,19
1.230000,5,388,85,1,110,95,83,63,37,21,22,21,0,21
1.240000,5,395,105,1,114,98,83,63,37,30,33,21,0,21
1.250000,5,395,105,1,114,98,83,63,37,30,33,21,0,21
1.260000,5,395,105,1,114,98,83,63,37,30,33,21,0,21
1.270000,5,396,108,1,114,99,83,63,37,30,36,21,0,21
1.280000,5,396,109,1,114,99,83,63,37,31,36,21,0,21
1.290000,5,396,109,1,114,99,83,63,37,31,36,21,0,21
1.300000,5,396,109,1,114,99,83,63,37,31,36,21,0,21
1.310000,5,396,109,1,114,99,83,63,37,31,36,21,0,21
1.320000,5,397,112,1,114,100,83,63,37,31,39,21,0,21
1.330000,5,397,112,1,114,100,83,63,37,31,39,21,0,21
1.340000,5,397,112,1,114,100,83,63,37,31,39,21,0,21
1.350000,5,396,111,1,113,100,83,63,37,30,39,21,0,21
1.360000,5,398,122,1,115,100,83,63,37,41,39,21,0,21
1.370000,5,398,122,1,115,100,83,63,37,41,39,21,0,21
1.380000,5,403,144,0,115,100,84,63,41,41,41,21,0,41
1.390000,5,403,144,0,115,100,84,63,41,41,41,21,0,41
1.400000,5,403,144,0,115,100,84,63,41,41,41,21,0,41
1.410000,5,403,144,0,115,100,84,63,41,41,41,21,0,41
1.420000,5,402,143,0,114,100,84,63,41,40,41,21,0,41
1.430000,5,402,143,0,114,100,84,63,41,40,41,21,0,41
1.440000,5,403,145,0,115,100,83,63,42,41,41,21,0,42
1.450000,5,403,145,0,115,100,83,63,42,41,41,21,0,42
1.460000,5,403,143,0,115,100,83,63,42,39,41,21,0,42
1.470000,5,403,143,0,115,100,83,63,42,39,41,21,0,42
1.480000,5,403,143,0,115,100,83,63,42,39,41,21,0,42
1.490000,5,403,143,0,115,100,83,63,42,39,41,21,0,42
1.500000,5,403,143,0,115,100,83,63,42,39,41,21,0,42
