Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
0.900000,5,0,0,1,1.000000,0,0,0,0,0
0.910000,5,0,0,1,1.000000,0,0,0,0,0
0.920000,5,0,0,1,1.000000,0,0,0,0,0
0.930000,5,0,0,1,1.000000,0,0,0,0,0
0.940000,5,0,0,1,1.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,0,0,0,0,0
0.960000,5,0,0,1,1.000000,0,0,0,0,0
0.970000,5,0,0,1,1.000000,0,0,0,0,0
0.980000,5,0,0,1,1.000000,0,0,0,0,0
0.990000,5,0,0,1,1.000000,0,0,0,0,0
1.000000,5,0,0,1,1.000000,0,0,0,0,0
1.010000,5,0,0,1,1.000000,0,0,0,0,0
1.020000,5,0,0,1,1.000000,0,0,0,0,0
1.030000,5,0,0,1,1.000000,0,0,0,0,0
1.040000,5,0,0,1,1.000000,0,0,0,0,0
1.050000,5,9,9,1,0.981670,0,6,3,0,0
1.060000,5,9,9,1,0.981670,0,6,3,0,0
1.070000,5,29,29,1,0.940937,7,11,6,0,5
1.080000,5,29,29,1,0.940937,7,11,6,0,5
1.090000,5,37,37,1,0.924644,10,15,6,0,6
1.100000,5,37,37,1,0.924644,10,15,6,0,6
1.110000,5,39,39,1,0.920570,11,16,6,0,6
1.120000,5,52,52,1,0.894094,9,30,7,0,6
1.130000,5,62,62,1,0.873727,13,26,12,0,11
1.140000,5,62,62,1,0.873727,13,26,12,0,11
1.150000,5,63,62,1,0.871690,16,26,11,0,10
1.160000,5,63,62,1,0.871690,16,26,11,0,10
1.170000,5,80,80,1,0.837067,22,26,16,0,16
1.180000,5,80,80,1,0.837067,22,26,16,0,16
1.190000,5,79,79,1,0.839104,18,25,18,0,18
1.200000,5,79,79,1,0.839104,18,25,18,0,18
1.210000,5,84,84,1,0.828921,22,24,19,0,19
1.220000,5,84,84,1,0.828921,22,24,19,0,19
1.230000,5,85,85,1,0.826884,21,22,21,0,21
1.240000,5,105,105,1,0.786151,30,33,21,0,21
1.250000,5,105,105,1,0.786151,30,33,21,0,21
1.260000,5,105,105,1,0.786151,30,33,21,0,21
1.270000,5,108,108,1,0.780041,30,36,21,0,21
1.280000,5,109,109,1,0.778004,31,36,21,0,21
1.290000,5,109,109,1,0.778004,31,36,21,0,21
1.300000,5,109,109,1,0.778004,31,36,21,0,21
1.310000,5,109,109,1,0.778004,31,36,21,0,21
1.320000,5,112,112,1,0.771894,31,39,21,0,21
1.330000,5,112,112,1,0.771894,31,39,21,0,21
1.340000,5,112,112,1,0.771894,31,39,21,0,21
1.350000,5,111,111,1,0.773931,30,39,21,0,21
1.360000,5,123,122,1,0.749491,42,39,21,0,21
1.370000,5,123,122,1,0.749491,42,39,21,0,21
1.380000,5,144,144,0,0.706721,41,41,21,0,41
1.390000,5,144,144,0,0.706721,41,41,21,0,41
1.400000,5,144,144,0,0.706721,41,41,21,0,41
1.410000,5,144,144,0,0.706721,41,41,21,0,41
1.420000,5,143,143,0,0.708758,40,41,21,0,41
1.430000,5,143,143,0,0.708758,40,41,21,0,41
1.440000,5,145,145,0,0.704684,41,41,21,0,42
1.450000,5,145,145,0,0.704684,41,41,21,0,42
1.460000,5,143,143,0,0.708758,39,41,21,0,42
1.470000,5,143,143,0,0.708758,39,41,21,0,42
1.480000,5,143,143,0,0.708758,39,41,21,0,42
1.490000,5,143,143,0,0.708758,39,41,21,0,42
1.500000,5,143,143,0,0.708758,39,41,21,0,42
