Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.500000,5,194,0,0.565996,21,17,107,14,35
1.500000,5,296,0,0.513957,51,34,67,135,9
1.500000,5,134,0,0.775920,0,30,43,43,18
1.500000,5,374,0,0.636187,72,124,95,24,59
1.500000,5,262,1,0.715527,73,129,32,28,0
1.500000,5,344,1,0.613917,28,34,20,80,182
1.500000,5,305,1,0.605943,21,66,70,25,123
1.500000,5,405,0,0.688222,24,112,83,70,116
1.500000,5,447,0,0.614323,24,135,117,78,93
1.500000,5,164,1,0.715771,0,8,39,52,65
1.500000,5,74,1,0.687764,13,12,35,14,0
1.500000,5,76,0,0.649770,18,13,7,11,27
1.500000,5,281,1,0.633638,22,60,115,65,19
1.500000,5,86,1,0.675472,34,19,25,4,4
1.500000,5,441,0,0.630034,45,111,42,166,77
1.500000,5,356,1,0.637843,32,65,105,71,83
